product,consom,unit,tax,currency,geo\time	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 	1998S2 	1998S1 	1997S2 	1997S1 	1996S2 	1996S1 	1995S2 	1995S1 	1994S2 	1994S1 	1993S2 	1993S1 	1992S2 	1992S1 	1991S2 
6000,4262820,KWH,I_TAX,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0525 	0.0522 	0.0493 	0.0519 	0.0490 	0.0501 	0.0468 	0.0447 	0.0481 
6000,4262820,KWH,I_TAX,NAC,NO	: 	: 	0.2980 	: 	0.2730 	0.2910 	: 	0.3350 	0.3510 	0.2360 	0.2480 	0.2460 	0.2660 	0.2640 	0.2520 	0.3010 	: 	0.2275 	0.2760 	0.2700 	0.2700 	0.2020 	0.2000 	0.1590 	0.1310 	: 	: 	: 	: 	: 	: 	: 
6000,4262820,KWH,I_TAX,NAC,PL	: 	: 	0.2537 	0.2469 	0.2737 	0.2444 	0.2657 	: 	0.2600 	0.2560 	0.2320 	0.2680 	0.2070 	0.1950 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262820,KWH,X_TAX,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0447 	0.0445 	0.0419 	0.0442 	0.0417 	0.0426 	0.0395 	0.0377 	0.0404 
6000,4262820,KWH,X_TAX,NAC,NO	: 	: 	0.2340 	: 	0.2140 	0.2300 	: 	0.2700 	0.2830 	0.1900 	0.2000 	0.1980 	0.2140 	0.2140 	0.2050 	0.2450 	: 	0.1850 	0.2240 	0.2190 	0.2190 	0.1640 	0.1630 	0.1290 	0.1065 	: 	: 	: 	: 	: 	: 	: 
6000,4262820,KWH,X_TAX,NAC,PL	: 	: 	0.1880 	0.1824 	0.2043 	0.1803 	0.1978 	: 	0.2100 	0.2100 	0.1900 	0.2200 	0.1700 	0.1600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262820,KWH,X_VAT,NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0447 	0.0445 	0.0419 	0.0442 	0.0417 	0.0426 	0.0395 	0.0377 	0.0404 
6000,4262820,KWH,X_VAT,NAC,NO	: 	: 	0.2390 	: 	0.2190 	0.2350 	: 	0.2700 	0.2830 	0.1900 	0.2000 	0.1980 	0.2140 	0.2140 	0.2050 	0.2450 	: 	0.1850 	0.2240 	0.2190 	0.2190 	0.1640 	0.1630 	0.1290 	0.1065 	: 	: 	: 	: 	: 	: 	: 
6000,4262820,KWH,X_VAT,NAC,PL	: 	: 	0.2080 	0.2024 	0.2243 	0.2003 	0.2178 	: 	0.2100 	0.2100 	0.1900 	0.2200 	0.1700 	0.1600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4262830,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0450 	0.0450 	0.0461 	0.0470 	0.0483 	0.0483 	0.0508 	0.0508 	0.0517 	0.0508 	0.0515 	0.0515 	0.0518 	0.0518 	0.0515 	0.0515 	0.0509 	0.0509 
